,tokens
0,"['go', 'jurong', 'point', 'crazi', 'avail', 'bugi', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amor', 'wat']"
1,"['ok', 'lar', 'joke', 'wif', 'u', 'oni']"
2,"['free', 'entri', 'wkli', 'comp', 'win', 'fa', 'cup', 'final', 'tkt', 'may', 'text', 'fa', 'receiv', 'entri', 'question', 'std', 'txt', 'rate', 'c', 'appli']"
3,"['u', 'dun', 'say', 'earli', 'hor', 'u', 'c', 'alreadi', 'say']"
4,"['nah', 'think', 'goe', 'usf', 'live', 'around', 'though']"
5,"['freemsg', 'hey', 'darl', 'week', 'word', 'back', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chg', 'send', 'rcv']"
6,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']"
7,"['per', 'request', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', 'copi', 'friend', 'callertun']"
8,"['winner', 'valu', 'network', 'custom', 'select', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'valid', 'hour']"
9,"['mobil', 'month', 'u', 'r', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'mobil', 'updat', 'co', 'free']"
10,"['gon', 'na', 'home', 'soon', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'cri', 'enough', 'today']"
11,"['six', 'chanc', 'win', 'cash', 'pound', 'txt', 'send', 'cost', 'tsandc', 'appli', 'repli', 'hl', 'info']"
12,"['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'c', 'lccltd', 'pobox']"
13,"['search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'wonder', 'bless', 'time']"
14,"['date', 'sunday']"
15,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click']"
16,"['oh', 'k', 'watch']"
17,"['eh', 'u', 'rememb', 'spell', 'name', 'ye', 'v', 'naughti', 'make', 'v', 'wet']"
18,"['fine', 'way', 'u', 'feel', 'way', 'gota', 'b']"
19,"['england', 'v', 'macedonia', 'dont', 'miss', 'news', 'txt', 'ur', 'nation', 'team', 'eg', 'england', 'tri', 'wale', 'scotland']"
20,"['serious', 'spell', 'name']"
21,"['go', 'tri', 'month', 'ha', 'ha', 'joke']"
22,"['pay', 'first', 'lar', 'da', 'stock', 'comin']"
23,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']"
24,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']"
25,"['forc', 'eat', 'slice', 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', 'sick', 'turn', 'pizza', 'lol']"
26,"['lol', 'alway', 'convinc']"
27,"['catch', 'bu', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', 'left', 'dinner', 'feel', 'love']"
28,"['back', 'amp', 'pack', 'car', 'let', 'know', 'room']"
29,"['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']"
30,"['wait', 'still', 'clear', 'sure', 'sarcast', 'x', 'want', 'live', 'us']"
31,"['yeah', 'got', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wo', 'go', 'badli', 'cheer']"
32,"['k', 'tell', 'anyth']"
33,"['fear', 'faint', 'housework', 'quick', 'cuppa']"
34,"['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', 'pleas', 'confirm', 'repli', 'ye', 'repli', 'charg']"
35,"['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'xuhui', 'go', 'learn', 'may', 'lesson']"
36,"['oop', 'let', 'know', 'roommat', 'done']"
37,"['see', 'letter', 'b', 'car']"
38,"['anyth', 'lor', 'u', 'decid']"
39,"['hello', 'saturday', 'go', 'text', 'see', 'decid', 'anyth', 'tomo', 'tri', 'invit', 'anyth']"
40,"['pl', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']"
41,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']"
42,"['rodger', 'burn', 'msg', 'tri', 'call', 'repli', 'sm', 'free', 'nokia', 'mobil', 'free', 'camcord', 'pleas', 'call', 'deliveri', 'tomorrow']"
43,['see']
44,"['great', 'hope', 'like', 'man', 'well', 'endow', 'lt', 'gt', 'inch']"
45,"['call', 'messag', 'miss', 'call']"
46,"['get', 'hep', 'b', 'immunis', 'nigeria']"
47,"['fair', 'enough', 'anyth', 'go']"
48,"['yeah', 'hope', 'tyler', 'ca', 'could', 'mayb', 'ask', 'around', 'bit']"
49,"['u', 'know', 'stubborn', 'even', 'want', 'go', 'hospit', 'kept', 'tell', 'mark', 'weak', 'sucker', 'hospit', 'weak', 'sucker']"
50,"['think', 'first', 'time', 'saw', 'class']"
51,"['gram', 'usual', 'run', 'like', 'lt', 'gt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'lt', 'gt']"
52,"['k', 'fyi', 'x', 'ride', 'earli', 'tomorrow', 'morn', 'crash', 'place', 'tonight']"
53,"['wow', 'never', 'realiz', 'embarass', 'accomod', 'thought', 'like', 'sinc', 'best', 'could', 'alway', 'seem', 'happi', 'sorri', 'give', 'sorri', 'offer', 'sorri', 'room', 'embarass']"
54,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'repli', 'end', 'sptv']"
55,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lt', 'url', 'gt']"
56,"['congrat', 'year', 'special', 'cinema', 'pass', 'call', 'c', 'suprman', 'v', 'etc', 'free', 'dont', 'miss']"
57,"['sorri', 'call', 'later', 'meet']"
58,"['tell', 'reach']"
59,"['ye', 'gauti', 'sehwag', 'odi', 'seri']"
60,"['gon', 'na', 'pick', 'burger', 'way', 'home', 'ca', 'even', 'move', 'pain', 'kill']"
61,"['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situat', 'seeker']"
62,"['part', 'check', 'iq']"
63,"['sorri', 'roommat', 'took', 'forev', 'ok', 'come']"
64,"['ok', 'lar', 'doubl', 'check', 'wif', 'da', 'hair', 'dresser', 'alreadi', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']"
65,"['valu', 'custom', 'pleas', 'advis', 'follow', 'recent', 'review', 'mob', 'award', 'bonu', 'prize', 'call']"
66,"['today', 'dedic', 'day', 'song', 'u', 'dedic', 'send', 'ur', 'valuabl', 'frnd', 'first', 'rpli']"
67,"['urgent', 'ur', 'award', 'complimentari', 'trip', 'eurodisinc', 'trav', 'aco', 'claim', 'txt', 'di', 'morefrmmob', 'shracomorsglsuplt']"
68,"['hear', 'new', 'come', 'ken', 'stuff']"
69,"['plane', 'give', 'month', 'end']"
70,"['wah', 'lucki', 'man', 'save', 'money', 'hee']"
71,"['finish', 'class']"
72,"['hi', 'babe', 'im', 'home', 'wan', 'na', 'someth', 'xx']"
73,"['k', 'k', 'perform']"
74,"['u', 'call']"
75,"['wait', 'machan', 'call', 'free']"
76,"['that', 'cool', 'gentleman', 'treat', 'digniti', 'respect']"
77,"['like', 'peopl', 'much', 'shi', 'pa']"
78,"['oper', 'lt', 'gt']"
79,"['still', 'look', 'job', 'much', 'ta', 'earn']"
80,"['sorri', 'call', 'later']"
81,"['call', 'ah']"
82,"['ok', 'way', 'home', 'hi', 'hi']"
83,"['place', 'man']"
84,"['yup', 'next', 'stop']"
85,"['call', 'later', 'network', 'urgnt', 'sm']"
86,"['real', 'u', 'get', 'yo', 'need', 'ticket', 'one', 'jacket', 'done', 'alreadi', 'use', 'multi']"
87,"['ye', 'start', 'send', 'request', 'make', 'pain', 'came', 'back', 'back', 'bed', 'doubl', 'coin', 'factori', 'got', 'ta', 'cash', 'nitro']"
88,"['realli', 'still', 'tonight', 'babe']"
89,"['ela', 'il', 'download', 'come', 'wen', 'ur', 'free']"
90,"['yeah', 'stand', 'close', 'catch', 'someth']"
91,"['sorri', 'pain', 'ok', 'meet', 'anoth', 'night', 'spent', 'late', 'afternoon', 'casualti', 'mean', 'done', 'includ', 'time', 'sheet', 'sorri']"
92,"['smile', 'pleasur', 'smile', 'pain', 'smile', 'troubl', 'pour', 'like', 'rain', 'smile', 'hurt', 'u', 'smile', 'becoz', 'someon', 'still', 'love', 'see', 'u', 'smile']"
93,"['pleas', 'call', 'custom', 'servic', 'repres', 'guarante', 'cash', 'prize']"
94,"['havent', 'plan', 'buy', 'later', 'check', 'alreadi', 'lido', 'got', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'alreadi']"
95,"['free', 'rington', 'wait', 'collect', 'simpli', 'text', 'password', 'verifi', 'get', 'usher', 'britney', 'fml']"
96,"['watch', 'telugu', 'movi', 'wat', 'abt', 'u']"
97,"['see', 'finish', 'load', 'loan', 'pay']"
98,"['hi', 'wk', 'ok', 'hol', 'ye', 'bit', 'run', 'forgot', 'hairdress', 'appoint', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'caus', 'prob', 'u', 'ham']"
99,"['pleas', 'text', 'anymor', 'noth', 'els', 'say']"
100,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'am', 'xx']"
101,"['still', 'look', 'car', 'buy', 'gone', 'drive', 'test', 'yet']"
102,"['per', 'request', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', 'copi', 'friend', 'callertun']"
103,"['wow', 'right', 'mean', 'guess', 'gave', 'boston', 'men', 'chang', 'search', 'locat', 'nyc', 'someth', 'chang', 'cuz', 'signin', 'page', 'still', 'say', 'boston']"
104,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']"
105,"['thank', 'lot', 'wish', 'birthday', 'thank', 'make', 'birthday', 'truli', 'memor']"
106,"['aight', 'hit', 'get', 'cash']"
107,"['would', 'ip', 'address', 'test', 'consid', 'comput', 'minecraft', 'server']"
108,"['know', 'grumpi', 'old', 'peopl', 'mom', 'like', 'better', 'lie', 'alway', 'one', 'play', 'joke']"
109,"['dont', 'worri', 'guess', 'busi']"
110,"['plural', 'noun', 'research']"
111,['go']
112,"['ok', 'wif', 'co', 'like', 'tri', 'new', 'thing', 'scare', 'u', 'dun', 'like', 'mah', 'co', 'u', 'said', 'loud']"
113,"['gent', 'tri', 'contact', 'last', 'weekend', 'draw', 'show', 'prize', 'guarante', 'call', 'claim', 'code', 'valid']"
114,"['wa', 'ur', 'openin', 'sentenc', 'formal', 'anyway', 'fine', 'juz', 'tt', 'eatin', 'much', 'n', 'puttin', 'weight', 'haha', 'anythin', 'special', 'happen']"
115,"['enter', 'cabin', 'pa', 'said', 'happi', 'boss', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invit', 'apart', 'went']"
116,"['winner', 'u', 'special', 'select', 'receiv', 'holiday', 'flight', 'inc', 'speak', 'live', 'oper', 'claim']"
117,"['goodo', 'ye', 'must', 'speak', 'friday', 'ratio', 'tortilla', 'need']"
118,"['hmm', 'uncl', 'inform', 'pay', 'school', 'directli', 'pl', 'buy', 'food']"
119,"['privat', 'account', 'statement', 'show', 'unredeem', 'bonu', 'point', 'claim', 'call', 'identifi', 'code', 'expir']"
120,"['urgent', 'mobil', 'award', 'bonu', 'caller', 'prize', 'final', 'tri', 'contact', 'u', 'call', 'landlin']"
121,"['new', 'address', 'pair', 'malarki']"
122,"['today', 'voda', 'number', 'end', 'select', 'receiv', 'award', 'match', 'pleas', 'call', 'quot', 'claim', 'code', 'standard', 'rate', 'app']"
123,"['go', 'sao', 'mu', 'today', 'done']"
124,"['predict', 'wat', 'time', 'finish', 'buy']"
125,"['good', 'stuff']"
126,"['know', 'yetund', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'send', 'dont', 'involv', 'anyth', 'impos', 'anyth', 'first', 'place', 'apologis']"
127,['room']
128,"['hey', 'girl', 'r', 'u', 'hope', 'u', 'r', 'well', 'del', 'r', 'bak', 'long', 'time', 'c', 'give', 'call', 'sum', 'time', 'lucyxx']"
129,"['k', 'k', 'much', 'cost']"
130,['home']
131,"['dear', 'call', 'accomod']"
132,"['first', 'answer', 'question']"
133,"['sunshin', 'quiz', 'wkli', 'q', 'win', 'top', 'soni', 'dvd', 'player', 'u', 'know', 'countri', 'algarv', 'txt', 'ansr', 'sp', 'tyron']"
134,"['want', 'get', 'laid', 'tonight', 'want', 'real', 'dog', 'locat', 'sent', 'direct', 'ur', 'mob', 'join', 'uk', 'largest', 'dog', 'network', 'bt', 'txting', 'gravel', 'nt']"
135,"['haf', 'msn', 'yiju']"
136,"['call', 'meet']"
137,"['check', 'room', 'befor', 'activ']"
138,"['rcv', 'msg', 'chat', 'svc', 'free', 'hardcor', 'servic', 'text', 'go', 'u', 'get', 'noth', 'u', 'must', 'age', 'verifi', 'yr', 'network', 'tri']"
139,"['got', 'c', 'lazi', 'type', 'forgot', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']"
140,"['k', 'text', 'way']"
141,"['sir', 'wait', 'mail']"
142,"['swt', 'thought', 'get', 'tire', 'littl', 'thing', 'lovabl', 'person', 'coz', 'somtim', 'littl', 'thing', 'occupi', 'biggest', 'part', 'heart', 'gud']"
143,"['know', 'pl', 'open', 'back']"
144,"['ye', 'see', 'ya', 'dot']"
145,"['what', 'staff', 'name', 'take', 'class', 'us']"
146,"['freemsg', 'repli', 'text', 'randi', 'sexi', 'femal', 'live', 'local', 'luv', 'hear', 'netcollex', 'ltd', 'per', 'msg', 'repli', 'stop', 'end']"
147,"['call', 'check', 'life', 'begin', 'qatar', 'pl', 'pray', 'hard']"
148,"['k', 'delet', 'contact']"
149,"['sindu', 'got', 'job', 'birla', 'soft']"
150,"['wine', 'flow', 'never']"
151,"['yup', 'thk', 'cine', 'better', 'co', 'need', 'go', 'plaza', 'mah']"
152,"['ok', 'ur', 'typic', 'repli']"
153,"['per', 'request', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', 'copi', 'friend', 'callertun']"
154,"['everywher', 'dirt', 'floor', 'window', 'even', 'shirt', 'sometim', 'open', 'mouth', 'come', 'flow', 'dream', 'world', 'without', 'half', 'chore', 'time', 'joy', 'lot', 'tv', 'show', 'see', 'guess', 'like', 'thing', 'must', 'exist', 'like', 'rain', 'hail', 'mist', 'time', 'done', 'becom', 'one']"
155,"['aaooooright', 'work']"
156,"['leav', 'hous']"
157,"['hello', 'love', 'get', 'interview', 'today', 'happi', 'good', 'boy', 'think', 'miss']"
